taxon_name,int_midpoint,sub,size,taxon_name,is_extant,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval
Abarbatia,0.01,nonHet,65.5,Abarbatia,extant,242,235,0.0117,0,Ladinian,Cenozoic
Abra,0.01,Het,38,Abra,extant,56,48.6,0.0117,0,Eocene,Holocene
Abruptolopha,0.01,nonHet,98.78571429,Abruptolopha,extinct,70.6,66,70.6,66,Maastrichtian,
Acanthocardia,0.01,Het,102.5,Acanthocardia,extant,89.8,83.6,0.0117,0,Coniacian,Cenozoic
Acanthopecten,257.05,nonHet,12.13,Acanthopecten,extinct,364.7,360.7,254.17,252.17,Famennian,Permian
Acar,0.01,nonHet,43,Acar,extant,83.5,66,0.0117,0,Campanian,Cenozoic
Acesta,69.05,nonHet,185,Acesta,extant,166.1,163.5,0.126,0.0117,Callovian,Pleistocene
Acharax,0.01,nonHet,240,Acharax,extant,345.3,339.4,0.126,0.0117,Visean,Pleistocene
Acorylus,0.01,Het,6.71,Acorylus,extant,11.62,7.246,0.781,0.126,Tortonian,Middle Pleistocene
Acostaea,0.01,nonHet,79.81666667,Acostaea,extant,,,,,,
Acrosterigma,0.01,Het,128,Acrosterigma,extant,23.03,15.97,0.0117,0,Neogene,Holocene
Actinodesma,365.55,nonHet,36.97,Actinodesma,extinct,410.8,407.6,228,208.5,Pragian,Norian
Actinodonta,424.3,nonHet,45.01,Actinodonta,extinct,478.6,471.8,11.608,5.333,Ordovician,Miocene
Actinopteria,327.05,nonHet,78.87,Actinopteria,extinct,443.4,440.8,254.17,252.17,Silurian,Permian
Actinopterinia,449.1,nonHet,9.716666667,Actinopterinia,extinct,460.9,452,460.9,452,Darriwilian,Katian
Actinostreon,0.01,nonHet,101.72,Actinostreon,extinct,232,221.5,130,125.45,Late Triassic,Barremian
Actinotrigonia,96.9,nonHet,61.71,Actinotrigonia,extinct,,,,,,
Acuticosta,0.01,nonHet,57.9,Acuticosta,extinct,,,,,,
Acutostrea,69.05,nonHet,77.78,Acutostrea,extinct,100.5,93.9,28.1,23.03,Late Cretaceous,Paleogene
Adacna,0.01,Het,50,Adacna,extant,0.126,0.0117,0.126,0.0117,Late Pleistocene,
Adamussium,0.01,nonHet,120,Adamussium,extant,28.1,23.03,0.0117,0,Chattian,Holocene
Adipicola,0.01,nonHet,52.9,Adipicola,extant,15.97,13.82,11.62,7.246,Langhian,Tortonian
Adontorhina,0.01,nonHet,2.805,Adontorhina,extant,0.781,0.126,0.781,0.126,Middle Pleistocene,
Adrana,0.01,nonHet,107,Adrana,extant,61.7,55.8,0.126,0,Cenozoic,Holocene
Adula,0.01,nonHet,113,Adula,extant,47.8,41.3,0.126,0.0117,Lutetian,Pleistocene
Aenona,69.05,nonHet,17.29,Aenona,extinct,99.6,93.5,70.6,66,Late Cretaceous,Maastrichtian
Aeora,69.05,nonHet,23.8,Aeora,extinct,61.6,59.2,61.6,59.2,Selandian,
Aequipecten,0.01,nonHet,101.3,Aequipecten,extant,247.2,242,0.0117,0,Middle Triassic,Cenozoic
Africogryphaea,148.55,nonHet,54.22857143,Africogryphaea,extinct,174.1,168.3,163.5,155.7,Middle Jurassic,Kimmeridgian
Afrocardium,0.01,Het,16,Afrocardium,extant,11.62,7.246,0.126,0.0117,Tortonian,Pleistocene
Agelasina,69.05,nonHet,104.5285714,Agelasina,extinct,93.5,89.3,72.1,66,Turonian,Maastrichtian
Agerostrea,69.05,nonHet,45.77333333,Agerostrea,extinct,100.5,72.1,5.333,3.6,Late Cretaceous,Zanclean
Agriopleura,69.05,nonHet,50.74444444,Agriopleura,extinct,136.4,130,72.1,66,Valanginian,Late Cretaceous
Agriopoma,0.01,nonHet,76,Agriopoma,extant,38,33.9,2.588,0.0117,Priabonian,Pleistocene
Aguilerella,160.4,nonHet,67.12857143,Aguilerella,extinct,208.5,201.3,139.8,130,Rhaetian,Hauterivian
Ahtioconcha,455.7,nonHet,63.95,Ahtioconcha,extinct,460.9,449.5,460.9,449.5,Darriwilian,Katian
Alasmidonta,0.01,nonHet,62.35,Alasmidonta,extant,,,,,,
Alectryonella,0.01,nonHet,120,Alectryonella,extant,3.6,2.588,0.126,0.0117,Piacenzian,Pleistocene
