taxon_name,int_midpoint,sub,size,taxon_name,is_extant,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,
Aberia,449.1,art,32.77,Aberia,extinct,449.5,443.7,449.5,443.7,Katian,Hirnantian,
Abrekia,249.2,art,11.645,Abrekia,extinct,252.17,251.3,247.2,242,Early Triassic,Anisian,
Absenticosta,338.8,art,21.67333333,Absenticosta,extinct,,,,,,,
Abyssothyris,0.01,art,11.755,Abyssothyris,extant,5.333,3.6,5.333,3.6,Zanclean,,
Acambona,327.05,art,39.88,Acambona,extinct,358.9,346.7,358.9,346.7,Tournaisian,,
Acanthalosia,284.7,art,37.46,Acanthalosia,extinct,290.1,279.3,259.9,254.17,Artinskian,Wuchiapingian,
Acanthambonia,449.1,inart,1.744,Acanthambonia,extinct,485.4,477.7,449.5,443.7,Early Ordovician,Ordovician,
Acanthatia,352.8,art,23.5,Acanthatia,extinct,372.2,360.7,358.9,346.7,Famennian,Tournaisian,
Acanthocosta,352.8,art,24.545,Acanthocosta,extinct,358.9,346.7,358.9,346.7,Tournaisian,,
Acanthoglypha,473.85,art,9.063333333,Acanthoglypha,extinct,472,466,472,466,Floian,Middle Ordovician,
Acanthoplecta,327.05,art,41.51,Acanthoplecta,extinct,358.9,353.8,336,326.4,Tournaisian,Mississippian,
Acanthoproductus,365.55,art,24.19,Acanthoproductus,extinct,,,,,,,
Acanthorhynchia,131.15,art,25.57,Acanthorhynchia,extinct,171.6,168.3,125.45,122.46,Middle Jurassic,Aptian,
Acanthorthis,473.85,art,20.45333333,Acanthorthis,extinct,467.3,458.4,467.3,458.4,Darriwilian,,
Acanthospirifer,415,art,17.61,Acanthospirifer,extinct,419.2,410.8,419.2,410.8,Lochkovian,,
Acanthospirina,338.8,art,5.6,Acanthospirina,extinct,364.7,360.7,330.9,323.2,Famennian,Mississippian,
Acanthothiris,164.8,art,23.29,Acanthothiris,extinct,189.6,183,157.3,145,Pliensbachian,Late Jurassic,
Acanthothyropsis,169.3,art,12.93333333,Acanthothyropsis,extinct,175.6,171.6,171.6,167.7,Toarcian,Bathonian,
Acanthotoechia,473.85,art,9.165,Acanthotoechia,extinct,478.6,466,472,466,Early Ordovician,Middle Ordovician,
Acareorthis,502.5,art,3.0464,Acareorthis,extinct,516,513,513,501,Series 2,Drumian,
Acaretyrricula,435.95,inart,2.977333333,Acaretyrricula,extinct,443.4,440.8,438.5,433.4,Llandovery,,
Acculina,455.7,art,11.9,Acculina,extinct,466,449.5,460.9,449.5,Darriwilian,Katian,
Acolosia,270.55,art,9.93,Acolosia,extinct,295.5,290.1,272.3,268.8,Sakmarian,Roadian,
Acosarina,257.05,art,13.045,Acosarina,extinct,303.7,298.9,252.17,251.3,Gzhelian,Induan,
Acritosia,284.7,art,25.27,Acritosia,extinct,298.9,295.5,268.8,265.1,Cisuralian,Wordian,
Acrosaccus,449.1,inart,9.812121212,Acrosaccus,,467.3,456.1,393.3,387.7,Darriwilian,Eifelian,
Acrospirifer,390.5,art,52,Acrospirifer,extinct,419.2,410.8,382.7,358.9,Devonian,,
Acrothele,498.75,inart,12.57575758,Acrothele,extinct,541,513,457.5,449.5,Cambrian,Katian,
Acrothyra,502.5,inart,2.192,Acrothyra,extinct,520,516,501,485.4,Series 2,Furongian,
Acrotreta,449.1,inart,4.414457831,Acrotreta,extinct,516,513,453,443.7,Series 2,Ordovician,
Acrotretella,424.3,inart,0.726419214,Acrotretella,extinct,460.9,449.5,443.4,433.4,Darriwilian,Llandovery,
Actinoconchus,305.35,art,31.69333333,Actinoconchus,extinct,376.1,370.6,259.9,254.17,Late Devonian,Wuchiapingian,
Actinomena,449.1,art,26.50666667,Actinomena,extinct,466,460.9,449.5,443.7,Darriwilian,Late Ordovician,
Acuminothyris,338.8,art,51.2,Acuminothyris,extinct,358.9,346.7,346.7,330.9,Tournaisian,Visean,
Acutatheca,377.45,art,11.89,Acutatheca,extinct,382.7,372.2,382.7,372.2,Frasnian,,
Acutella,377.45,art,39.5,Acutella,extinct,,,,,,,
Acutoria,385.2,art,45.85,Acutoria,extinct,,,,,,,
Adatsagochonetes,284.7,art,10.88,Adatsagochonetes,extinct,290.1,279.3,290.1,279.3,Artinskian,,
Adectorhynchus,327.05,art,42.86,Adectorhynchus,extinct,,,,,,,
Adensu,449.1,inart,77.7,Adensu,extinct,453,445.2,453,445.2,Katian,,
Adminiculoria,338.8,art,13.76,Adminiculoria,extinct,323.2,315.2,268.8,265.1,Pennsylvanian,Wordian,
Admixtella,455.7,art,15.24,Admixtella,extinct,,,,,,,
Admodorugosus,338.8,art,18.56,Admodorugosus,extinct,,,,,,,
Adnatida,1.3,art,11.18857143,Adnatida,extinct,2.588,1.806,2.588,1.806,Gelasian,,
Adolfia,377.45,art,36.61,Adolfia,extinct,410.8,407.6,358.9,346.7,Pragian,Tournaisian,
Adolfispirifer,377.45,art,18.29,Adolfispirifer,extinct,379.5,376.1,379.5,376.1,Frasnian,,
Adrenia,400.45,art,5.610526316,Adrenia,extinct,407.6,393.3,407.6,393.3,Emsian,,
Advenina,119,art,13.68,Advenina,extinct,140.2,136.4,140.2,136.4,Berriasian,Valanginian,
Adygella,218.25,art,26.3,Adygella,extinct,247.2,242,221.5,201.3,Middle Triassic,Late Triassic,
Adygelloides,204.9,art,20.67,Adygelloides,extinct,228,201.3,228,201.3,Norian,Rhaetian,
Aegiria,428.95,art,7.8875,Aegiria,extinct,460.9,455.8,423,419.2,Darriwilian,Silurian,minor ribbing
Aegiromena,449.1,art,8.996666667,Aegiromena,extinct,468.1,460.9,438.5,433.4,Middle Ordovician,Llandovery,
Aemula,63.8,art,1.991,Aemula,extinct,83.5,70.6,66,61.6,Campanian,Danian,
Aenigmathyris,51.9,art,22.49,Aenigmathyris,extinct,38,33.9,38,33.9,Priabonian,,
Aesopomum,400.45,art,33.12,Aesopomum,extinct,427.4,423,409.1,391.9,Ludlow,Eifelian,minor ribbing
Aetheia,18.21,art,21.7,Aetheia,extinct,27.3,25.2,27.3,25.2,Chattian,,
Aethirhynchia,164.8,art,24.86,Aethirhynchia,extinct,164.7,161.2,164.7,161.2,Callovian,Oxfordian,
Afghanospirifer,319.2,art,36.07,Afghanospirifer,extinct,326.4,315.2,323.2,314.6,Serpukhovian,Moscovian,
